class,physiological_width,aspect_ratio,rectangularity,eccentricity,hue,value,correlation 90,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135,entropy 0,entropy 45,entropy 90,entropy 135
1,417,0.678657074,1.521976321,0.734455292,43.8557931,211.9464202,0.911649292,0.366093587,0.381113099,0.416731452,0.373049351,11.80949916,10.4328239,7.888932725,10.95955809,599.3813295,520.7633888,387.485677,560.75596,0.096570032,0.094795881,0.100509511,0.09422008,0.310757191,0.307889397,0.31703235,0.306952896,1.582703425,1.547705673,1.338909612,1.519169664
1,354,0.751412429,1.562628609,0.659832828,37.71713181,209.1070685,0.899939919,0.389106445,0.386258899,0.397505555,0.381354061,11.56879235,11.25646674,9.829232824,11.57904035,605.5655237,589.3179716,459.1803542,577.7083097,0.10480343,0.102274195,0.109372871,0.101775713,0.323733579,0.31980337,0.330715695,0.319023061,1.154359724,1.132043873,1.088521288,1.144885795
1,395,0.605063291,1.977440774,0.796177376,29.95069117,234.4568402,0.889449519,0.423191592,0.429036502,0.456114889,0.427693191,10.97613329,10.07201393,7.448578479,10.06585406,427.2743265,372.7584154,237.9851518,393.9473363,0.142848671,0.140370464,0.14806964,0.141036749,0.377953266,0.374660465,0.384798181,0.375548597,1.421398071,1.408225595,1.277861578,1.389649596
1,320,0.78125,1.397453142,0.624218261,41.5910625,191.0951625,0.884820657,0.307657625,0.303076574,0.317127359,0.300355754,14.76318878,14.88736235,13.09559365,14.83047751,794.8365561,814.2883863,659.4513016,784.6508182,0.061349628,0.058305854,0.064141624,0.058254649,0.247688571,0.241466052,0.253261966,0.241359999,1.378941076,1.38379477,1.344248646,1.37872108
1,379,0.741424802,1.770189071,0.671035962,41.42800402,195.635236,0.882684068,0.355417296,0.365249294,0.373648472,0.346277631,19.58121104,17.49836823,15.35646183,20.43135499,1494.02758,1373.440857,981.2699678,1500.142585,0.103327813,0.100962931,0.110458778,0.100280505,0.321446439,0.317746645,0.332353393,0.316670973,2.17709725,2.075762574,2.048725229,2.178858376
1,333,0.885885886,1.607537351,0.46390322,42.92417163,193.2675727,0.84659806,0.305435024,0.304297308,0.315576621,0.29472525,21.63029926,20.29878106,18.46534725,22.44116818,1601.686818,1497.691693,1144.80803,1590.657841,0.070258007,0.068769334,0.077563118,0.068173707,0.265062269,0.262239078,0.278501559,0.261100952,2.272943579,2.187490025,2.203498746,2.281937304
1,392,0.75,1.479340222,0.661437828,30.4098813,201.3776031,0.877647319,0.340115103,0.331819813,0.344446624,0.334817096,14.84436127,15.43981514,13.43999719,14.44720938,713.1244792,760.9446498,603.5935418,671.2124956,0.086312137,0.083040579,0.088405623,0.083184191,0.293789274,0.288167622,0.297330831,0.288416697,1.649065964,1.669903295,1.607848133,1.607476319
1,341,0.824046921,1.554967747,0.566521555,40.32683858,203.7854959,0.831830565,0.308304396,0.300119162,0.322261273,0.309458597,20.58313145,21.07670141,17.31322022,19.33817181,1260.326979,1283.59525,969.2339328,1206.544462,0.074669276,0.071745092,0.078487644,0.071151103,0.273256794,0.267852743,0.280156463,0.266741641,2.171505594,2.165452003,2.072675123,2.119237574
1,446,0.67264574,1.505544522,0.739964667,44.17876682,207.4170404,0.899184622,0.361627866,0.367207009,0.380563944,0.355816063,13.22032378,11.9254158,10.27977324,13.21931943,724.5304705,640.1471505,512.0316553,744.7113856,0.091531692,0.090526188,0.09607221,0.088497442,0.302542049,0.300875702,0.309955174,0.297485196,1.824969206,1.782914054,1.680868303,1.770506599
1,390,0.743589744,1.915926243,0.668636144,40.32554377,199.3243148,0.897599441,0.324168191,0.329262816,0.34418973,0.32061163,19.86291498,17.30978477,14.46456785,19.5116218,1246.75776,1035.716774,759.6242454,1210.15333,0.084716811,0.082962122,0.088304932,0.081985596,0.291061524,0.288031461,0.297161458,0.28633127,2.493453836,2.385834622,2.244096254,2.470249458
1,441,0.619047619,1.879892259,0.785353452,29.46860698,196.6774563,0.940717215,0.475976369,0.482144814,0.503882117,0.477167941,12.41483907,11.54739564,8.920724535,11.74092537,806.7065946,756.2237374,543.180613,759.8028209,0.19139261,0.189520239,0.199044824,0.189768023,0.437484411,0.435339223,0.446144399,0.435623717,1.567616923,1.541654459,1.415538774,1.54080643
1,375,0.792,1.476221403,0.610521089,38.26434119,199.7053199,0.906145211,0.310092523,0.294229625,0.324110707,0.325234284,13.71011872,14.53976431,11.34337064,12.38561953,747.6954338,712.2741231,534.898544,739.2416033,0.064062334,0.061619909,0.067326132,0.061989563,0.253105381,0.248233579,0.259472796,0.248977033,1.833453693,1.846056024,1.710961673,1.760937183
1,449,0.668151448,1.531447542,0.744025297,43.13211581,218.6055531,0.872544187,0.375718608,0.376226634,0.392724342,0.377573543,13.04357706,12.53419374,10.09232733,11.97822654,636.626107,606.522806,432.9121471,564.253386,0.103047247,0.101185129,0.106141179,0.100676205,0.321009731,0.318096101,0.325793153,0.317295139,1.77516065,1.763872872,1.624557109,1.72449881
